studentFullName,studentAdm,email,guardianName,phoneNumber,gender,className
Student 1,ADM-001,student1@example.com,Guardian 1,0712345678,MALE,1 north
Student 2,ADM-002,student2@example.com,Guardian 2,0712345679,FEMALE,1 north
Student 3,ADM-003,student3@example.com,Guardian 3,0712345680,MALE,1 north
Student 4,ADM-004,student4@example.com,Guardian 4,0712345681,FEMALE,1 north
Student 5,ADM-005,student5@example.com,Guardian 5,0712345682,MALE,1 north
Student 6,ADM-006,student6@example.com,Guardian 6,0712345683,FEMALE,1 north
Student 7,ADM-007,student7@example.com,Guardian 7,0712345684,MALE,1 north
Student 8,ADM-008,student8@example.com,Guardian 8,0712345685,FEMALE,1 north
Student 9,ADM-009,student9@example.com,Guardian 9,0712345686,MALE,1 north
Student 10,ADM-010,student10@example.com,Guardian 10,0712345687,FEMALE,1 north
Student 11,ADM-011,student11@example.com,Guardian 11,0712345688,MALE,1 north
Student 12,ADM-012,student12@example.com,Guardian 12,0712345689,FEMALE,1 north
Student 13,ADM-013,student13@example.com,Guardian 13,0712345690,MALE,1 north
Student 14,ADM-014,student14@example.com,Guardian 14,0712345691,FEMALE,1 north
Student 15,ADM-015,student15@example.com,Guardian 15,0712345692,MALE,1 north
Student 16,ADM-016,student16@example.com,Guardian 16,0712345693,FEMALE,1 north
Student 17,ADM-017,student17@example.com,Guardian 17,0712345694,MALE,1 north
Student 18,ADM-018,student18@example.com,Guardian 18,0712345695,FEMALE,1 north
Student 19,ADM-019,student19@example.com,Guardian 19,0712345696,MALE,1 north
Student 20,ADM-020,student20@example.com,Guardian 20,0712345697,FEMALE,1 north
Student 21,ADM-021,student21@example.com,Guardian 21,0712345698,MALE,1 north
Student 22,ADM-022,student22@example.com,Guardian 22,0712345699,FEMALE,1 north
Student 23,ADM-023,student23@example.com,Guardian 23,0712345700,MALE,1 north
Student 24,ADM-024,student24@example.com,Guardian 24,0712345701,FEMALE,1 north
Student 25,ADM-025,student25@example.com,Guardian 25,0712345702,MALE,1 north
Student 26,ADM-026,student26@example.com,Guardian 26,0712345703,FEMALE,1 north
Student 27,ADM-027,student27@example.com,Guardian 27,0712345704,MALE,1 north
Student 28,ADM-028,student28@example.com,Guardian 28,0712345705,FEMALE,1 north
Student 29,ADM-029,student29@example.com,Guardian 29,0712345706,MALE,1 north
Student 30,ADM-030,student30@example.com,Guardian 30,0712345707,FEMALE,1 north
Student 31,ADM-031,student31@example.com,Guardian 31,0712345708,MALE,1 north
Student 32,ADM-032,student32@example.com,Guardian 32,0712345709,FEMALE,1 north
Student 33,ADM-033,student33@example.com,Guardian 33,0712345710,MALE,1 north
Student 34,ADM-034,student34@example.com,Guardian 34,0712345711,FEMALE,1 north
Student 35,ADM-035,student35@example.com,Guardian 35,0712345712,MALE,1 north
Student 36,ADM-036,student36@example.com,Guardian 36,0712345713,FEMALE,1 north
Student 37,ADM-037,student37@example.com,Guardian 37,0712345714,MALE,1 north
Student 38,ADM-038,student38@example.com,Guardian 38,0712345715,FEMALE,1 north
Student 39,ADM-039,student39@example.com,Guardian 39,0712345716,MALE,1 north
Student 40,ADM-040,student40@example.com,Guardian 40,0712345717,FEMALE,1 north
Student 41,ADM-041,student41@example.com,Guardian 41,0712345718,MALE,1 north
Student 42,ADM-042,student42@example.com,Guardian 42,0712345719,FEMALE,1 north
Student 43,ADM-043,student43@example.com,Guardian 43,0712345720,MALE,1 north
Student 44,ADM-044,student44@example.com,Guardian 44,0712345721,FEMALE,1 north
Student 45,ADM-045,student45@example.com,Guardian 45,0712345722,MALE,1 north
Student 46,ADM-046,student46@example.com,Guardian 46,0712345723,FEMALE,1 north
Student 47,ADM-047,student47@example.com,Guardian 47,0712345724,MALE,1 north
Student 48,ADM-048,student48@example.com,Guardian 48,0712345725,FEMALE,1 north
Student 49,ADM-049,student49@example.com,Guardian 49,0712345726,MALE,1 north
Student 50,ADM-050,student50@example.com,Guardian 50,0712345727,FEMALE,1 north
Student 51,ADM-051,student51@example.com,Guardian 51,0712345728,MALE,1 north
Student 52,ADM-052,student52@example.com,Guardian 52,0712345729,FEMALE,1 north
Student 53,ADM-053,student53@example.com,Guardian 53,0712345730,MALE,1 north
Student 54,ADM-054,student54@example.com,Guardian 54,0712345731,FEMALE,1 north
Student 55,ADM-055,student55@example.com,Guardian 55,0712345732,MALE,1 north
Student 56,ADM-056,student56@example.com,Guardian 56,0712345733,FEMALE,1 north
Student 57,ADM-057,student57@example.com,Guardian 57,0712345734,MALE,1 north
Student 58,ADM-058,student58@example.com,Guardian 58,0712345735,FEMALE,1 north
Student 59,ADM-059,student59@example.com,Guardian 59,0712345736,MALE,1 north
